Porcentaje de nulos por columna (promedio sobre todos los archivos, muestra de 1000 filas):

 columna  pct_nulo_promedio  pct_nulo_minimo  pct_nulo_maximo
       0             100.00            100.0            100.0
       6             100.00            100.0            100.0
      10             100.00            100.0            100.0
      37             100.00            100.0            100.0
      42             100.00            100.0            100.0
      38             100.00            100.0            100.0
      87             100.00            100.0            100.0
      88             100.00            100.0            100.0
      89             100.00            100.0            100.0
      97             100.00            100.0            100.0
     103             100.00            100.0            100.0
     100             100.00            100.0            100.0
      99             100.00            100.0            100.0
     109             100.00            100.0            100.0
      81             100.00            100.0            100.0
      84             100.00            100.0            100.0
      83             100.00            100.0            100.0
      82             100.00            100.0            100.0
      90             100.00            100.0            100.0
      74             100.00            100.0            100.0
      77             100.00            100.0            100.0
      75             100.00            100.0            100.0
      70             100.00            100.0            100.0
      71             100.00            100.0            100.0
      69             100.00            100.0            100.0
      68             100.00            100.0            100.0
      66             100.00            100.0            100.0
      67             100.00            100.0            100.0
      64             100.00            100.0            100.0
      76             100.00            100.0            100.0
      65             100.00            100.0            100.0
      61             100.00            100.0            100.0
      59             100.00            100.0            100.0
      60             100.00            100.0            100.0
      57             100.00            100.0            100.0
      56             100.00            100.0            100.0
      55             100.00            100.0            100.0
      58             100.00            100.0            100.0
      54             100.00            100.0            100.0
      53             100.00            100.0            100.0
      51             100.00            100.0            100.0
      52             100.00            100.0            100.0
      50             100.00            100.0            100.0
      49             100.00            100.0            100.0
      47             100.00            100.0            100.0
      46             100.00            100.0            100.0
      92             100.00            100.0            100.0
      91             100.00            100.0            100.0
      93             100.00            100.0            100.0
      98             100.00            100.0            100.0
      95             100.00            100.0            100.0
      96             100.00            100.0            100.0
      94             100.00            100.0            100.0
     107              99.46             94.0            100.0
     106              99.46             94.0            100.0
      63              99.00             93.0            100.0
      79              99.00             93.0            100.0
     104              98.64             95.0            100.0
      45              98.64             95.0            100.0
      44              98.64             95.0            100.0
      43              98.64             95.0            100.0
      62              98.17             81.0            100.0
      33              76.15             36.0             97.0
      72              76.15             36.0             97.0
      85              67.33              0.0            100.0
      48              66.60              1.0            100.0
      40              65.48              0.0            100.0
     105              65.15              0.0            100.0
     101              65.15              0.0            100.0
      24              52.19             28.0             67.0
      36              10.94              0.0             81.0
       5               3.98              0.0             60.0
      17               3.26              0.0             22.0
      18               1.39              0.0              5.0
      16               1.39              0.0              5.0
       8               1.36              0.0              5.0
      15               1.36              0.0              5.0
      41               1.36              0.0              5.0
      73               1.36              0.0              5.0
      20               1.22              0.0             99.0
      22               1.17              0.0             10.0
      23               0.28              0.0              5.0
      25               0.07              0.0              2.0
      21               0.02              0.0              1.0
      35               0.02              0.0              1.0
      34               0.00              0.0              0.0
      39               0.00              0.0              0.0
      31               0.00              0.0              0.0
      30               0.00              0.0              0.0
       7               0.00              0.0              0.0
       9               0.00              0.0              0.0
      11               0.00              0.0              0.0
      12               0.00              0.0              0.0
      13               0.00              0.0              0.0
       4               0.00              0.0              0.0
       3               0.00              0.0              0.0
       2               0.00              0.0              0.0
       1               0.00              0.0              0.0
      32               0.00              0.0              0.0
      27               0.00              0.0              0.0
      28               0.00              0.0              0.0
      29               0.00              0.0              0.0
      26               0.00              0.0              0.0
      14               0.00              0.0              0.0
      19               0.00              0.0              0.0
      80               0.00              0.0              0.0
      86               0.00              0.0              0.0
      78               0.00              0.0              0.0
     102               0.00              0.0              0.0
     108               0.00              0.0              0.0

Columnas con MAS del 50% de nulos en promedio: 70

 columna  pct_nulo_promedio  pct_nulo_minimo  pct_nulo_maximo
       0             100.00            100.0            100.0
       6             100.00            100.0            100.0
      10             100.00            100.0            100.0
      37             100.00            100.0            100.0
      42             100.00            100.0            100.0
      38             100.00            100.0            100.0
      87             100.00            100.0            100.0
      88             100.00            100.0            100.0
      89             100.00            100.0            100.0
      97             100.00            100.0            100.0
     103             100.00            100.0            100.0
     100             100.00            100.0            100.0
      99             100.00            100.0            100.0
     109             100.00            100.0            100.0
      81             100.00            100.0            100.0
      84             100.00            100.0            100.0
      83             100.00            100.0            100.0
      82             100.00            100.0            100.0
      90             100.00            100.0            100.0
      74             100.00            100.0            100.0
      77             100.00            100.0            100.0
      75             100.00            100.0            100.0
      70             100.00            100.0            100.0
      71             100.00            100.0            100.0
      69             100.00            100.0            100.0
      68             100.00            100.0            100.0
      66             100.00            100.0            100.0
      67             100.00            100.0            100.0
      64             100.00            100.0            100.0
      76             100.00            100.0            100.0
      65             100.00            100.0            100.0
      61             100.00            100.0            100.0
      59             100.00            100.0            100.0
      60             100.00            100.0            100.0
      57             100.00            100.0            100.0
      56             100.00            100.0            100.0
      55             100.00            100.0            100.0
      58             100.00            100.0            100.0
      54             100.00            100.0            100.0
      53             100.00            100.0            100.0
      51             100.00            100.0            100.0
      52             100.00            100.0            100.0
      50             100.00            100.0            100.0
      49             100.00            100.0            100.0
      47             100.00            100.0            100.0
      46             100.00            100.0            100.0
      92             100.00            100.0            100.0
      91             100.00            100.0            100.0
      93             100.00            100.0            100.0
      98             100.00            100.0            100.0
      95             100.00            100.0            100.0
      96             100.00            100.0            100.0
      94             100.00            100.0            100.0
     107              99.46             94.0            100.0
     106              99.46             94.0            100.0
      63              99.00             93.0            100.0
      79              99.00             93.0            100.0
     104              98.64             95.0            100.0
      45              98.64             95.0            100.0
      44              98.64             95.0            100.0
      43              98.64             95.0            100.0
      62              98.17             81.0            100.0
      33              76.15             36.0             97.0
      72              76.15             36.0             97.0
      85              67.33              0.0            100.0
      48              66.60              1.0            100.0
      40              65.48              0.0            100.0
     105              65.15              0.0            100.0
     101              65.15              0.0            100.0
      24              52.19             28.0             67.0

Columnas SIN ningun nulo en ninguno de los archivos: 25
[34, 39, 31, 30, 7, 9, 11, 12, 13, 4, 3, 2, 1, 32, 27, 28, 29, 26, 14, 19, 80, 86, 78, 102, 108]
